Customer shall not produce any of ODP Business Solutions proprietary and confidential information without ODP Business Solutions prior written consent.  ,,,,,,,,
"Upon notice to ODP Business Solutions of any request for its confidential information, Customer shall allow ODP Business Solutions to determine, in its sole discretion, ",,,,,,,,
"the relevant material to disclose, if any.  Customer shall assume all of ODP Business Solutions information provided to Customer is confidential. ",,,,,,,,
,,,,,,,,
 5/3 ,,,,,,,,
"Reporting Period: May 1, 2022 - May 1, 2023",,,,,,,,
Depot Product Code,Product Description,Wholesaler Product Code,Primary Supplier Id,Primary Supplier Name,Merch Dept,Pack Qty,UOM,Qty Sold
421241,"TONER,HP,LJ,655A,CYAN",CF451A,419894,HP INC,65-Toners/other imaging,1,EA,321
429588,"TONER,HP,CF413XC,MG",CF413XC,419894,HP INC,65-Toners/other imaging,1,EA,1
430898,"TONER,REPLACE,DELL,2150,BK",200656,460088,CLOVER IMAGING GROUP LLC,65-Toners/other imaging,1,EA,2
4310379,"INK,CARTRIDGE,HP,962XL,MAGENTA",3JA01AN#140,3061,HP INC,14-Inkjet cartridges,1,EA,40
431632,"INK,HP,952,CMYB,COMBO",N9K28AN#140,3061,HP INC,14-Inkjet cartridges,1,EA,8
432892,"TONER,13X,HIGH YIELD",Q2613X,419894,HP INC,65-Toners/other imaging,1,EA,14
4336815,"TONER,HP,W2123XC,CNTRCT,MGT",W2123XC,419894,HP INC,65-Toners/other imaging,1,EA,11
4391266,"INK,REPL,HP,727,GRAY",WH727GY,460088,CLOVER IMAGING GROUP LLC,14-Inkjet cartridges,1,EA,3
440263,HP - fuser kit,2946251,7219,TD SYNNEX CORPORATION,65-Toners/other imaging,1,EA,6
440472,"MICR TONER,HP LJ 4000",MCMMICRTJN400,100,SP RICHARDS,65-Toners/other imaging,1,EA,1
444590,"Toner,HP CB541A,Cyan",CB541A,419894,HP INC,65-Toners/other imaging,1,EA,1
449623,"RIBBON,VERFONE 900R6/PK,BLK/RD",11326,479663,IDENTITY GROUP,65-Toners/other imaging,6,PK,5
451389,"TONER,HP,CE401AC,CYAN",CE401YC,419894,HP INC,65-Toners/other imaging,1,EA,2
4514022,OEM Toner,CE390JC,1069337,DISTRIBUTION MANAGEMENT INC,65-Toners/other imaging,1,EA,1
4515791,"TONER,MICR,NEW,HPCF237A",4977517,7219,TD SYNNEX CORPORATION,65-Toners/other imaging,1,EA,38
452957,"TONER,HP,MPS,508X,YLW",CF362XC,419894,HP INC,65-Toners/other imaging,1,EA,18
456435,"CRTDG,DNJ,HP 72,130ML,PB",C9370A,3061,HP INC,14-Inkjet cartridges,1,EA,1
456450,"CRTDG,DNJ,HP 72,130ML,CY",C9371A,3061,HP INC,14-Inkjet cartridges,1,EA,4
456455,"CRTDG,DNJ,HP 72,130ML,MA",C9372A,3061,HP INC,14-Inkjet cartridges,1,EA,1
456460,"CRTDG,DNJ,HP 72,130ML,YW",J99994,8765,INGRAM MICRO INC,14-Inkjet cartridges,1,EA,1
456465,"CRTDG,DNJ,HP 72,130ML,GY",J99993,8765,INGRAM MICRO INC,14-Inkjet cartridges,1,EA,2
456565,"CRTDG,DNJ,HP 72,130ML,MTT B",C9403A,3061,HP INC,14-Inkjet cartridges,1,EA,2
457951,"TONER,HP,LJ,CF402YC,YELLOW",CE402YC,419894,HP INC,65-Toners/other imaging,1,EA,1
458174,"TONER,HP,CF403CY,MAGENTA",CE403YC,419894,HP INC,65-Toners/other imaging,1,EA,1
462962,"TONER,LJ,507A,HP,MAGENTA",CE403AG,1069337,DISTRIBUTION MANAGEMENT INC,65-Toners/other imaging,1,EA,1
472576,"HEWLETT PACKARD,952,CMY,3 PACK",N9K27AN#140,3061,HP INC,14-Inkjet cartridges,1,EA,11
472668,"Toner,Laser,Troy,13000,Black",745-51X-HTI,709701,HOFFMAN TECHNOLOGIES INC,65-Toners/other imaging,1,EA,10
474442,"TONER,HP PL5T MPS,BLACK",CF280XC,3061,HP INC,65-Toners/other imaging,1,EA,1199
4867914,"TONER,HP,148X,W1480X,BLK",W1480X,3061,HP INC,65-Toners/other imaging,1,EA,7
487404,"TONER,HP,CE260A,BLACK",CE260A,419894,HP INC,65-Toners/other imaging,1,EA,67
487764,"TONER,HP,CE261A,CYAN",CE261A,419894,HP INC,65-Toners/other imaging,1,EA,5
487908,"TONER,HP,CE262A,YELLOW",CE262A,419894,HP INC,65-Toners/other imaging,1,EA,6
487953,"TONER,HP,CE263A,MAGENTA",CE263A,419894,HP INC,65-Toners/other imaging,1,EA,5
