 Money ,,,MFR PART NUMBER,Bullcrap,Column 3,Staples #,,MFR PART NUMBER,Ability One Flag,MFR NAME,DESCRIPTION,UPC,Do we like it
,1,,2947B001,2947B001,2947B,757276,2947B,CNM2947B001,N,"CANON USA, INC.",43173606,00013803094527,no
,1,,IM1GW6623,IM1GW6623,CN684WN,917829,CN684WN,IM1GW6623,N,HP,"HP 564XL Black Ink Cartridge, High Yield (CN684WN)",886111234295,yes
,1,,LC203BK,LC203BK,LC203BK,2764693,LC203BK,STLC203BK,N,TRU RED,TRU RED™ Remanufactured Black High Yield Ink Cartridge Replacement for Brother LC203BK (LC203BK),718103286787,yes
,1,,6451B001,6451B001,6,117158,6,CNM6451B001,N,"CANON USA, INC.",44103504,00013803151534,yes
,1,,IM16YE862,IM16YE862,W2311A,24422208,W2311A,IM16YE862,N,HEWLETT PACKARD,00073333561111,,yes
,1,,IM16YE863,IM16YE863,W2312A,24422200,W2312A,IM16YE863,N,HEWLETT PACKARD,00073555210507,,no
,1,,IM12CB027,IM12CB027,CF512A,2796028,CF512A,IM12CB027,N,HP,"HP 204A Yellow Toner Cartridge, Standard Yield (CF512A)",,yes
,1,,IM12CB028,IM12CB028,,2796025,,IM12CB028,N,HP,HP 204A Magenta Original LaserJet Toner Cartridge,190781106951,yes
,1,,51645A,51645A,,603555,,HEW51645A,N,HP,HP 45 Black Standard Yield Ink Cartridge,88698585177,no
,1,,106R02756,106R02756,106R02756,24424527,106R02756,ST106R02756,N,TRU RED,TRU RED™ Remanufactured Cyan Standard Yield Toner Cartridge Replacement for Xerox 106R02756 (106R02756),801509392494,yes
,1,,SU814A,SU814A,SU814A,24402809,SU814A,STSU814A,N,TRU RED,TRU RED™ Remanufactured Black Standard Yield Toner Cartridge Replacement for Samsung MLT-D111S (SU814A),801509386882,yes
,1,,IM16YE861,IM16YE861,W2310A,24422203,W2310A,IM16YE861,N,HEWLETT PACKARD,00073310565019,,yes
,1,,IM12CB025,IM12CB025,,2796030,,IM12CB025,N,HP,HP 204A Black Original LaserJet Toner Cartridge,190781106920,no
,1,,6513B001,6513B001,6513B001,117166,6513B001,CNM6513B001,N,CANON,"Canon CLI 251 Black Ink Cartridge, Standard (6513B001)",,no
